FID;uuid;identifier;createdBy;createdAt0;modifiedBy;modifiedA0;MoundID;Type;Source;Descripti0;LanduseAr0;LanduseOn0;Prominence;Latitude;Longitude;Northing;Easting;Accuracy;HandheldG0;Elevation;FacingDir0;Notes;Photo;HeightMax;DiameterM0;HeightMin;DiameterM1;OtherDime0;Diameter_1;OtherDim_1;ShapeNotes;Associate0;SurfaceMa0;SampleCol0;Chronolog0;Associate1;Condition;Principal0;OtherSour0;Archaeolo0;MostRecen0;MostRecen1;RTDescrip0;CommentsA0;CRMPhotos;FID_1;uuid_1;identifi_1;createdB_1;createdA_1;modified_1;modified_2;ID;FeatureAu0;FeatureTi0;Latitude_1;Longitud_1;Northing_1;Easting_1;Accuracy_1;FeatureTy0;MapSymbol;Source_1;Note;GC;DateCompl0;Descript_1;Classific0;OtherDesc0;Picture;Mound_ID;Precision;x_proj;y_proj
0;1000021505100000000.000000000000000;8106;Bara Weissova;2017-09-11 04:25:37.643 GMT;Bara Weissova;2017-09-11 04:25:37 GMT;8106;Burial Mound;Legacy verification; ;Annual agriculture;Perennial agriculture (e.g orchard or vineyard);Valley Bottom or Plain;42.409707721300002;26.247832061499999;4695541.229000000300000;438108.26278227;3.0;8; ;North;camera photo;files/app/9a543a6c-5890-42eb-bdbe-f35a35369cf8_image-1505104267136.original.jpg;0;55; ;50;p;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last year; ; ; ;1075;1000051505988264387;202685;Stephanie Black;2017-09-21 10:04:31.623 GMT;Stephanie Black;2017-09-21 10:04:31 GMT;202685;Stephanie Black;2017-09-21 13:04:22+03:00;42.409596358546;26.2476185811943;4695529.0191542;438090.587056047; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21/09/2017; ; ; ; ;8106;top;26.2478008;42.4096985
1;1000021505110000000.000000000000000;8107;Bara Weissova;2017-09-11 04:57:40.605 GMT;Bara Weissova;2017-09-11 05:01:56 GMT;8107;Burial Mound;Legacy verification; ;Annual agriculture;Scrub;Valley Bottom or Plain;42.388045496899998;26.189617998599999;4693179.962000000300000;433295.180155942;3.0;9; ;West; ;files/app/de02516a-ef19-45d1-88a2-58d28758d15c_image-1505106149927.original.jpg;0;20; ;11; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Looting;agriculture;5- none or nearly none;Looting;Unknown; ; ;files/app/721f3fa3-0f9b-4699-8ebf-8a0430e54121_image-1505106070736.original.jpg - files/app/e1f3ebe6-4ae3-41ab-842d-2ade8b56cd3a_image-1505106103727.original.jpg;1108;1000051505988761540;202701;Stephanie Black;2017-09-21 10:12:48.386 GMT;Stephanie Black;2017-09-21 10:12:48 GMT;202701;Stephanie Black;2017-09-21 13:12:40+03:00;42.3878535916425;26.1893710888425;4693158.84681781;433274.65293863; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21/09/2017; ; ; ; ;8107;30;26.1896000;42.3880005
2;1000021505110000000.000000000000000;8109;Bara Weissova;2017-09-11 05:26:50.031 GMT;Bara Weissova;2017-09-11 05:26:50 GMT;8109;Uncertain Mound;Survey; ;Annual agriculture;Scrub;Valley Bottom or Plain;42.388074849200002;26.186455873900002;4693185.707999999600000;433034.926358657;3.0;11; ;West; ;files/app/46fee0d1-1e3a-4864-96e1-2d5b78836551_image-1505107839315.original.jpg;0;20;0;12; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Looting;"agriculture; plenty of stones within looking like someone excavated and left them there";5- none or nearly none;Looting;Unknown; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.1865005;42.3880997
3;1000021505110000000.000000000000000;8110;Bara Weissova;2017-09-11 05:56:32.456 GMT;Bara Weissova;2017-09-11 05:56:32 GMT;8110;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.398691794500003;26.186021029500001;4694364.929999999700000;433010.425363784;3.0;12; ;North; ;files/app/85a523db-1c6c-4b49-a238-cfcacd4af0bf_image-1505109587301.original.jpg;0;35; ;40; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;4 - minimal;Agriculture;Last year; ; ; ;1105;1000051505988720246;202699;Stephanie Black;2017-09-21 10:12:08.825 GMT;Stephanie Black;2017-09-21 10:12:08 GMT;202699;Stephanie Black;2017-09-21 13:11:58+03:00;42.3983958428472;26.1863045401936;4694331.84461576;433033.443422652; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21/09/2017; ; ; ; ;8110;10;26.1860008;42.3987007
4;1000021505120000000.000000000000000;8117;Bara Weissova;2017-09-11 09:16:06.980 GMT;Bara Weissova;2017-09-11 09:16:06 GMT;8117;Extinct Burial Mound;Legacy verification;heap of stones in middle of field;Annual agriculture;Pasture (grassland);Valley Bottom or Plain;42.381152793399998;26.191485819000000;4692413.150000000400000;433441.645844143;3.0;19; ;East; ;files/app/c5c921a4-e554-4949-acb2-10653cdf4e22_image-1505121577286.original.jpg;0;15; ;5; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Agriculture; ;5- none or nearly none;Agriculture;Last year; ; ; ;1414;1000051505997305012;202760;Stephanie Black;2017-09-21 12:35:14.137 GMT;Stephanie Black;2017-09-21 12:35:14 GMT;202760;Stephanie Black;2017-09-21 15:35:02+03:00;42.3810849960511;26.1920328161281;4692405.1934663;433486.604356611; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21/09/2017; ; ; ; ;8117;6;26.1914997;42.3811989
5;1000021505280000000.000000000000000;8129;Bara Weissova;2017-09-13 05:54:02.258 GMT;Bara Weissova;2017-09-13 06:11:26 GMT;8129;Burial Mound;Legacy verification; ;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.427255220500001;26.658885075800001;4697272.009999999800000;471939.42451253;3.0;31; ;South; ;files/app/f108b237-6842-42ff-99d1-d66cf746e9ce_image-1505282913342.original.jpg;4;30; ;30; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Looting; ;3 - impaired;Looting;Last year;01, rectangle,15,5,3, manual excavation;Pepsi bottle dates last looting at 2015-16.;files/app/a0bfdff8-b533-4b2b-a9bb-2b0bf8f18cbb_image-1505283069257.original.jpg - files/app/c65cbd92-b46f-412b-9555-a35e852b3626_image-1505282827573.original.jpg;1374;1000061505996596334;204095;Briana Barton;2017-09-21 12:23:21.619 GMT;Briana Barton;2017-09-21 12:23:33 GMT;204095;Briana Barton;2017-09-21 15:23:14+03:00;42.4266543337611;26.6572349784626;4697205.83517577;471803.415831771; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21/09/2017; ; ; ; ;8129;130;26.6588993;42.4272995
6;1000021505280000000.000000000000000;8130;Bara Weissova;2017-09-13 06:13:41.076 GMT;Bara Weissova;2017-09-13 06:24:31 GMT;8130;Burial Mound;Survey; ;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.427041470200002;26.659174345499999;4697248.179999999700000;471963.124998564;3.0;32; ;South; ;files/app/4ed530f3-50f5-4cb4-a926-60228148d418_image-1505283742747.original.jpg;0;35; ;30; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Looting;potential road cut;2 - good;Looting;Unknown;"01,rectangle,1.5,1, 0.5,manual excavation; 02,rectangle,3,2, 0.5, manual excavation"; ;files/app/042b6a64-79be-474d-bcb3-1ed95c8bc5d6_image-1505283672023.original.jpg - files/app/d14f3c77-c8b7-4112-9570-795c57d98e8c_image-1505283852350.original.jpg;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.6592007;42.4269981
7;1000021505280000000.000000000000000;8131;Bara Weissova;2017-09-13 06:33:19.312 GMT;Bara Weissova;2017-09-13 06:48:24 GMT;8131;Burial Mound;Legacy verification; ;Pasture (grassland);Pasture (grassland);Hilltop;42.429831907299999;26.663454014999999;4697556.617999999800000;472316.405870442;3.0;33; ;Southeast;local hilltop, overlooking Pobeda;files/app/172d072c-39eb-43cd-b3d4-57b293956a34_image-1505285099623.original.jpg;0;30; ;25; ;0.000000000000000;0.000000000000000; ;Other;white mortar in the animal hole, prove of a disturbed grave;No; ; ;4 - seriously damaged;Looting;construction and animal activity;4 - minimal;Looting;Unknown;"01,rectangle, 10,4, 1.5, manual excavation; 02,irregular, 4,2, 1.8,hole; 03, rectangle, 10,4, 1.8, manual excavation"; ;files/app/29490ab6-1832-499f-9a28-7622edf7d948_image-1505285290906.original.jpg - files/app/42b50fe4-6bc9-41f9-8fbf-da8641996409_image-1505285249871.original.jpg - files/app/720086ea-a07f-4886-bf69-40dde5e043ff_image-1505285215005.original.jpg;1380;1000061505996649428;204097;Briana Barton;2017-09-21 12:24:14.646 GMT;Briana Barton;2017-09-21 12:24:20 GMT;204097;Briana Barton;2017-09-21 15:24:08+03:00;42.4297817736319;26.6636366143109;4697550.99222614;472331.404084144; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8131;top;26.6634998;42.4297981
8;1000021505290000000.000000000000000;8132;Bara Weissova;2017-09-13 07:00:31.284 GMT;Bara Weissova;2017-09-13 07:01:50 GMT;8132;Burial Mound;Legacy verification;kurgan Dzhibunyaka;Pasture (grassland);Pasture (grassland);Hilltop;42.431879867200003;26.663684171700002;4697783.944000000100000;472336.238713588;3.0;34;279.9;West;located in a military base, general allowed us to record it but without taking pictures;files/app/337f75ab-5c63-4451-8e29-fa74645cd61b_image-1505286237015.original.jpg;0;35; ;35; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Construction; ;1 - full;Other (specify in Annotation) (military watch tower);Unknown; ;watchtower on top; ;1378;1000061505996630995;204096;Briana Barton;2017-09-21 12:24:00.292 GMT;Briana Barton;2017-09-21 12:24:00 GMT;204096;Briana Barton;2017-09-21 15:23:49+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21/09/2017; ; ; ; ;8132;top;26.6637001;42.4319000
9;1000021505290000000.000000000000000;8133;Bara Weissova;2017-09-13 07:19:57.751 GMT;Bara Weissova;2017-09-13 07:24:35 GMT;8133;Burial Mound;Legacy verification; ;Other (explain in notes);Other (explain in notes);Hilltop;42.423131786900001;26.655326796200001;4696815.336000000100000;471644.857138132;3.0;35;244.6;South;graveyard;files/app/4749f4b5-62ab-4719-b05b-efbae2920841_image-1505287549635.original.jpg;1;45; ;40; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Other; ;2 - good;Other (specify in Annotation) (graveyard );Last year; ; ;files/app/bb15a942-6e2e-4216-a08d-aed6ad0b7934_image-1505287459223.original.jpg;1434;1000061505997530131;204101;Briana Barton;2017-09-21 12:38:58.067 GMT;Briana Barton;2017-09-21 12:38:58 GMT;204101;Briana Barton;2017-09-21 15:38:47+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21/09/2017; ; ; ; ;8133;top;26.6553001;42.4230995
10;1000021505290000000.000000000000000;8134;Bara Weissova;2017-09-13 07:42:11.065 GMT;Bara Weissova;2017-09-23 11:12:26 GMT;8134;Burial Mound;Legacy verification; ;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.433140898100000;26.648001691099999;4697929.193000000000000;471046.850444025;3.0;36; ;West; ;files/app/846e3460-f611-434d-8a4b-c5392a582236_image-1505288918697.original.jpg;0;35; ;30; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Looting; ;3 - impaired;Looting;Unknown;"01,irregular,10,4, 1.5, manual excavation; 02,irregular,12,5,1.8, manual excavation";rubbish dumped directly next to mound western side;files/app/15e14626-c710-4da4-9649-d7159c896ce1_image-1506165129401.original.jpg - files/app/4c9d0013-0c85-48eb-8e12-2aec48a8ffbf_image-1505289040507.original.jpg - files/app/4d30565a-7b62-4a0c-ae49-cba9191f4d0a_image-1505289073500.original.jpg;1371;1000061505996538150;204094;Briana Barton;2017-09-21 12:22:23.363 GMT;Briana Barton;2017-09-21 12:22:26 GMT;204094;Briana Barton;2017-09-21 15:22:16+03:00;42.433089292583;26.6479263838335;4697923.48879707;471040.632379002; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21/09/2017; ; ; ; ;8134;top;26.6480007;42.4331017
11;1000021505290000000.000000000000000;8135;Bara Weissova;2017-09-13 07:56:15.143 GMT;Bara Weissova;2017-09-23 11:13:02 GMT;8135;Burial Mound;Legacy verification; ;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.433733998800001;26.650429594799999;4697994.224999999600000;471246.825745389;3.0;37; ;West; ;files/app/c3c26d5d-787a-4bb3-87fb-62ec3f9d6653_image-1505289637638.original.jpg;1;25; ;13; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Looting; ;5- none or nearly none;Looting;Unknown;01, rectangle, 35,5,1, manual excavation; ;files/app/255a1a0c-bcb6-4ed1-bdb1-10836c5a4cac_image-1505289696590.original.jpg - files/app/58a911b9-6131-4a2b-8224-031aaa3fe786_image-1506165168908.original.jpg;1315;1000061505994762488;204079;Briana Barton;2017-09-21 11:52:47.732 GMT;Briana Barton;2017-09-21 11:52:54 GMT;204079;Briana Barton;2017-09-21 14:52:41+03:00;42.4336152363103;26.6505255749545;4697981.00510495;471254.666129915; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8135;top;26.6504002;42.4337006
12;1000021505290000000.000000000000000;8136;Bara Weissova;2017-09-13 08:10:28.195 GMT;Bara Weissova;2017-09-13 08:12:33 GMT;8136;Burial Mound;Legacy verification;Northern edge of mound is dirt road, western edge agricultured, elevation marker on the top;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.431842241399998;26.644284671699999;4697786.268000000200000;470740.507580547;16.0;38;260.8;West;mound located on square with point;files/app/2e581e92-5ad5-455a-aadd-954ef81c18d7_image-1505290612153.original.jpg;0;45; ;40; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Other (human activity due to location next to villiage); ;2 - good;Other (specify in Annotation) (rubbish);Unknown; ;rubbish on east side of mound; ;1370;1000061505996518675;204093;Briana Barton;2017-09-21 12:22:07.626 GMT;Briana Barton;2017-09-21 12:22:07 GMT;204093;Briana Barton;2017-09-21 15:21:57+03:00; ; ; ; ; ;Mound;Black diamond with a dot inside;TopomapRU 1:50k; ;Y;21/09/2017; ; ; ; ;8136;top;26.6443005;42.4318008
13;1000021505290000000.000000000000000;8137;Bara Weissova;2017-09-13 08:34:29.878 GMT;Bara Weissova;2017-09-13 08:37:55 GMT;8137;Burial Mound;Legacy verification; ;Scrub;Pasture (grassland);Valley Bottom or Plain;42.412925026899998;26.641950436500000;4695686.559000000400000;470539.648914324;3.0;39; ;Southwest;at the edge of a dam full of water;files/app/db828a69-b8ff-492e-842e-4eafbc80048b_image-1505291928685.original.jpg;0;20; ;15; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Construction; ;5- none or nearly none;Not available;Unknown; ;covered with rubbish, next to dam; ;1523;1000061505998998511;204110;Briana Barton;2017-09-21 13:03:27.815 GMT;Briana Barton;2017-09-21 13:03:27 GMT;204110;Briana Barton;2017-09-21 16:03:17+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21/09/2017; ; ; ; ;8137;15;26.6420002;42.4128990
14;1000021505290000000.000000000000000;8138;Bara Weissova;2017-09-13 09:17:54.835 GMT;Bara Weissova;2017-09-13 09:17:54 GMT;8138;Extinct Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.423360515299997;26.609154865299999;4696857.180999999900000;467846.554420901;3.0;40; ;South; ;files/app/1c87354b-2bbc-4a56-a3a9-1b4800038969_image-1505294770409.original.jpg;0;40; ;35; ;0.000000000000000;0.000000000000000; ;Artefact scatter;Pottery;No;Roman;files/app/1913d5c7-c012-4a43-9d7c-310ad3d41469_image-1505294687576.original.jpg;5 - extinct or near extinct;Agriculture; ;5- none or nearly none;Agriculture;Last month; ; ; ;1365;1000061505996360937;204091;Briana Barton;2017-09-21 12:19:30.021 GMT;Briana Barton;2017-09-21 12:19:30 GMT;204091;Briana Barton;2017-09-21 15:19:19+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21/09/2017; ; ; ; ;8138;top;26.6091995;42.4234009
15;1000021505300000000.000000000000000;8139;Bara Weissova;2017-09-13 09:45:59.119 GMT;Bara Weissova;2017-09-13 09:45:59 GMT;8139;Extinct Burial Mound;Legacy verification;levelled in 70th of the 20th century based on local informant;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.423894975800003;26.604772106700000;4696918.195000000300000;467486.276025296;3.0;41; ;East; ;files/app/703e3e67-f9f8-49f8-82c1-3b2cae3301c4_image-1505296249810.original.jpg;0;0;0;0; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Construction; ;5- none or nearly none;Not available;None; ; ; ;1363;1000061505996331457;204090;Briana Barton;2017-09-21 12:18:55.667 GMT;Briana Barton;2017-09-21 12:18:55 GMT;204090;Briana Barton;2017-09-21 15:18:50+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21/09/2017; ; ; ; ;8139;top;26.6047993;42.4239006
16;1000021505300000000.000000000000000;8140;Bara Weissova;2017-09-13 10:09:46.644 GMT;Bara Weissova;2017-09-13 10:09:46 GMT;8140;Extinct Burial Mound;Legacy verification; ;Pasture (grassland);Pasture (grassland);Upper slope;42.437805734800001;26.595303958100001;4698466.478000000100000;466714.731518097;3.0;0; ;West; ;files/app/16e8eb06-4231-43c7-8386-2f4aefb6f10c_image-1505297466954.original.jpg;0;0;0;0; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Construction; ;5- none or nearly none;Infrastructure;Unknown; ; ; ;1307;1000061505994336708;204075;Briana Barton;2017-09-21 11:45:41.939 GMT;Briana Barton;2017-09-21 11:45:49 GMT;204075;Briana Barton;2017-09-21 14:45:34+03:00;42.4377537906623;26.5948084255824;4698460.90509008;466673.947583812; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21/09/2017; ; ; ; ;8140;20;26.5953007;42.4378014
17;1000021505300000000.000000000000000;8142;Bara Weissova;2017-09-13 10:30:30.850 GMT;Bara Weissova;2017-09-13 13:14:56 GMT;8142;Burial Mound;Legacy verification;elevation marker on top;Pasture (grassland);Pasture (grassland);Hilltop;42.443047999999997;26.600645000000000;0.000000000000000; ;3.0;42;217.6;West; ;files/app/8a1d9f84-8b56-4811-b808-145f22190e68_image-1505298828371.original.jpg;4;40; ;35; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Looting; ;2 - good;Looting;Unknown;"01,irregular, 4,8,1.5, manual excavation; 02, irregular, 1.5, 0.5, manual excavation; 03,irregular, 2,3, 0.5, manual excavation; 04, irregular, 13,6, 4, likely made by machine; 05, irregular, 10,4, 4, likely made by machine; 06,irregular, 2.5, 0.5, manua"; ;files/app/3a6f3323-f5bd-4e49-ab52-212f3eccc201_image-1505298760483.original.jpg - files/app/4b1ffadf-077e-405a-970d-8cf49bc38f8e_image-1505308475116.original.jpg;1308;1000061505994358868;204076;Briana Barton;2017-09-21 11:46:05.573 GMT;Briana Barton;2017-09-21 11:46:05 GMT;204076;Briana Barton;2017-09-21 14:45:57+03:00; ; ; ; ; ;Mound;Hairy black triangle with a dot inside;TopomapRU 1:50k; ;Y;21/09/2017; ; ; ; ;8142;260;26.6005993;42.4430008
18;1000021505300000000.000000000000000;8143;Bara Weissova;2017-09-13 10:47:50.602 GMT;Bara Weissova;2017-09-13 10:47:50 GMT;8143;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.447519470700001;26.602183983800000;4699542.394999999600000;467285.651755299;3.0;44; ;Southeast; ;files/app/cbec368c-8018-46c7-bf20-164484c3de9a_image-1505299861789.original.jpg;0;50; ;50; ;0.000000000000000;0.000000000000000; ;Loose artefacts; ;No;Roman;files/app/2b50adbf-bd5e-4a5f-8538-13d8798d53d0_image-1505300037557.original.jpg;4 - seriously damaged;Agriculture; ;4 - minimal;Agriculture;Last year; ; ; ;1227;1000061505991016244;204060;Briana Barton;2017-09-21 10:50:26.917 GMT;Briana Barton;2017-09-21 10:50:26 GMT;204060;Briana Barton;2017-09-21 13:50:14+03:00;42.4473738587965;26.602056534744;4699526.27586943;467275.095191515; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8143;top;26.6021996;42.4474983
19;1000021505370000000.000000000000000;8145;Bara Weissova;2017-09-14 05:58:54.475 GMT;Bara Weissova;2017-09-14 05:58:54 GMT;8145;Burial Mound;Legacy verification;Covered with old vineyard;Perennial agriculture (e.g orchard or vineyard);Perennial agriculture (e.g orchard or vineyard);Valley Bottom or Plain;42.596527804600001;26.721479627099999;4716049.069000000100000;477150.283247368;3.0;45;149.8;South;along Pleistocene lake;files/app/856cc811-90aa-4dec-ac33-a7d5e2abd7fb_image-1505369079463.original.jpg;0;60; ;50; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;2 - good;Agriculture;Unknown; ; ; ;1177;1000041505990156494;203425;Samuel Riley;2017-09-21 10:36:08.101 GMT;Samuel Riley;2017-09-21 10:36:08 GMT;203425;Samuel Riley;2017-09-21 13:35:54+03:00;42.5963891110259;26.7212939785213;4716033.71873374;477135.001985418; ;Mound;Hairy black diamond with a dot inside;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8145;top;26.7215004;42.5965004
20;1000021505370000000.000000000000000;8146;Bara Weissova;2017-09-14 06:13:59.502 GMT;Bara Weissova;2017-09-14 06:13:59 GMT;8146;Extinct Burial Mound;Legacy verification;Destroyed by agriculture;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.596998360400001;26.719001104800000;4716101.991999999600000;476947.119423388;3.0;46; ;South;on the shore of a Pleistocene lake;files/app/29ab1361-c116-4ddc-aa75-c473b7766fce_image-1505369790704.original.jpg;0;0; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Agriculture; ;5- none or nearly none;Agriculture;Last year; ; ; ;1178;1000041505990176360;203426;Samuel Riley;2017-09-21 10:36:26.949 GMT;Samuel Riley;2017-09-21 10:36:26 GMT;203426;Samuel Riley;2017-09-21 13:36:15+03:00;42.5967913412841;26.7190216883781;4716078.99886503;476948.731781781; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21/09/2017; ; ; ; ;8146;top;26.7189999;42.5970001
21;1000021505370000000.000000000000000;8147;Bara Weissova;2017-09-14 06:37:49.284 GMT;Bara Weissova;2017-09-14 06:37:49 GMT;8147;Burial Mound;Legacy verification;Used to be vineyard, evidence of poles, Southern side pipe for irrigation, elevation marker on top of mound;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.593633802799999;26.737418993999999;4715723.537999999700000;478456.947536782;3.0;47;152.9;South;on the shore of Pleistocene lake;files/app/ac60339f-7740-46cd-9b3e-60527b1c37c5_image-1505371382987.original.jpg;0;60; ;50; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture;Animal Activity;2 - good;Animal activity;Last month; ; ; ;1216;1000041505990821435;203445;Samuel Riley;2017-09-21 10:47:06.873 GMT;Samuel Riley;2017-09-21 10:47:18 GMT;203445;Samuel Riley;2017-09-21 13:47:01+03:00;42.5935676805374;26.7372600159407;4715716.23666564;478443.881631279; ;Mound;Hairy black diamond with a dot inside;TopomapRU 1:50k; ;Y;21/09/2017; ; ; ; ;8147;top;26.7374001;42.5936012
22;1000021505370000000.000000000000000;8148;Bara Weissova;2017-09-14 06:59:11.445 GMT;Bara Weissova;2017-09-14 06:59:11 GMT;8148;Extinct Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.594635234899997;26.731324825000002;4715836.307000000000000;477957.31347067;3.0;48; ;South;on the shore of Pleistocene lake;files/app/6ee8fccc-53d0-41c7-beab-e0f94c65d094_image-1505372585434.original.jpg;0;0; ;0; ;0.000000000000000;0.000000000000000;Looks more like embankment of lake than a burial mound; ; ;No; ; ;5 - extinct or near extinct;Agriculture; ;5- none or nearly none;Agriculture;Last year; ; ; ;1214;1000041505990779369;203444;Samuel Riley;2017-09-21 10:46:29.451 GMT;Samuel Riley;2017-09-21 10:46:29 GMT;203444;Samuel Riley;2017-09-21 13:46:16+03:00;42.5944744627426;26.731103762229;4715818.51214081;477939.120292244; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8148;top;26.7313004;42.5946007
23;1000021505380000000.000000000000000;8149;Bara Weissova;2017-09-14 08:04:08.384 GMT;Bara Weissova;2017-09-14 08:20:18 GMT;8149;Burial Mound;Legacy verification;Mound called Lozenska Mogila;Annual agriculture;Scrub;Valley Bottom or Plain;42.565322072100003;26.706788974399998;4712588.046000000100000;475933.06767808;3.0;49;157.8;East; ;files/app/0dc5a513-3b59-4772-a540-9d49566b36f8_image-1505377016100.original.jpg;3;36; ;30; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Looting;animal activity;2 - good;Animal activity;Last year;"01,rectangular, 3, 3, 1; 02, rectangular, 4, 2, 0.5; 03, irregular, 2, 3, 0.3; 04, irregular, 20, 5, 4, excavated by machine; 05, irregular, 8, 3, 1";Even though there are a large number of robbers trenches, it does not appear that they reached the grave.;files/app/a5848370-cbe0-456d-a7df-43de9a337544_image-1505376613156.original.jpg - files/app/c57c67d2-8c9b-40cb-87e9-b0c7138445af_image-1505377205451.original.jpg;1325;1000041505995057364;203470;Samuel Riley;2017-09-21 11:57:47.658 GMT;Samuel Riley;2017-09-21 11:57:47 GMT;203470;Samuel Riley;2017-09-21 14:57:34+03:00;42.5653608566698;26.706635218291;4712592.39660359;475920.462192581; ;Mound;Hairy black diamond with a dot inside;TopomapRU 1:50k;4;Y;21/09/2017; ; ; ; ;8149;top;26.7068005;42.5653000
24;1000021505380000000.000000000000000;8150;Bara Weissova;2017-09-14 08:35:06.176 GMT;Bara Weissova;2017-09-14 08:35:06 GMT;8150;Burial Mound;Legacy verification;Kirchova Mogila, next to highway;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.557790689699999;26.705742590300002;4711752.059999999600000;475844.274737161;3.0;50;153.4;Northeast; ;files/app/d4f48f4c-0af9-4adc-ae8a-4504e46ff6f9_image-1505378352557.original.jpg;0;60; ;55; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last year; ; ; ;2887; ; ;Bara Weissova;2018-08-03; ; ; ; ; ; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;03/08/2018; ; ; ; ;8150;top;26.7056999;42.5578003
