FID;uuid;identifier;createdBy;createdAt0;modifiedBy;modifiedA0;MoundID;Type;Source;Descripti0;LanduseAr0;LanduseOn0;Prominence;Latitude;Longitude;Northing;Easting;Accuracy;HandheldG0;Elevation;FacingDir0;Notes;Photo;HeightMax;DiameterMax;HeightMin;DiameterMin;OtherDime0;Diameter_1;OtherDim_1;ShapeNotes;Associate0;SurfaceMa0;SampleCol0;Chronolog0;Associate1;Condition;Principal0;OtherSour0;Archaeolo0;MostRecen0;MostRecen1;RTDescrip0;CommentsA0;CRMPhotos;FID_1;uuid_1;identifi_1;createdB_1;createdA_1;modified_1;modified_2;ID;FeatureAu0;FeatureTi0;Latitude_1;Longitud_1;Northing_1;Easting_1;Accuracy_1;FeatureTy0;MapSymbol;Source_1;Note;GC;DateCompl0;Descript_1;Classific0;OtherDesc0;Picture;Mound_ID;Precision;x_proj;y_proj
204;1.000.011.505.900.000.000.000.000.000.000.000;8425;Adela Sobotkova;2017-09-20 10:24:36.873 GMT;Adela Sobotkova;2017-09-20 10:24:36 GMT;8425;Settlement Mound;Legacy verification;settlement mound Tenevo;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.321.182.100.700.000;26.556.816.217.100.000;4.685.532.798.999.990.000.000;463.481.686.595.197;4.0;12; ;East;#571-572,551,575;files/app/cb4e7052-eb6c-435b-bb06-ee687d167506_image-1505903076088.original.jpg;9;100; ; ; ;0.000000000000000;0.000000000000000; ;Loose artefacts;prehistoric polished shiny pottery, poor visibility, one daub, 2 lithic axes!;No;Chalcolithic, Bronze?;files/app/4941fc43-2b6c-455f-934a-2d017e4278f9_image-1505904224936.original.jpg;3 - damaged;Looting; ;2 - good;Looting;Unknown;01,round,5,1, old overgrown;old large trenches; ;1273;1,00E+18;204540;Isaac Roberts;2017-09-21 11:31:47.519 GMT;Isaac Roberts;2017-09-21 11:31:47 GMT;204540;Isaac Roberts;2017-09-21 14:31:35+03:00;423.208.561.307.438;265.566.561.933.995;46.854.966.739.802;463.468.312.058.785; ;mound;Hairy brown circle;TopomapRU 1:50k;9;Y;21-09-2017;Settlement mound; ; ; ;8425;top;265.568.008;423.212.013
205;1.000.011.505.910.000.000.000.000.000.000.000;8426;Adela Sobotkova;2017-09-20 11:14:37.711 GMT;Adela Sobotkova;2017-09-20 11:14:37 GMT;8426;Burial Mound;Legacy verification; ;Scrub;Scrub;Hilltop;42.330.860.664.500.000;26.543.699.615.800.000;4.686.613.176.000.000.000.000;462.406.640.416.327;3.0;126; ;South;#577;files/app/37c754e3-cdf3-4780-a980-cf849a2fb0ec_image-1505906143363.original.jpg;3;20; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Looting; ;2 - good;Topographic or post-depositional;Unknown; ;poor access due to scrub, old overgrown trenches seen through the scrub; ;1127;1,00E+18;204500;Isaac Roberts;2017-09-21 10:19:55.294 GMT;Isaac Roberts;2017-09-21 10:20:13 GMT;204500;Isaac Roberts;2017-09-21 13:19:21+03:00;423.307.630.917.467;265.440.184.830.594;46.866.022.011.227;462.432.853.017.284; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21-09-2017; ; ; ; ;8426;top;265.436.993;423.308.983
206;1.000.011.505.910.000.000.000.000.000.000.000;8427;Adela Sobotkova;2017-09-20 11:27:05.779 GMT;Adela Sobotkova;2017-09-20 11:27:05 GMT;8427;Extinct Burial Mound;Legacy verification;mound covering a concrete construction;Scrub;Pasture (grassland);Hilltop;42.334.333.758.100.000;26.542.538.387.299.900;4.686.999.326.999.990.000.000;462.313.043.286.659;3.0;127; ;East;#578;files/app/c2b2dc2a-0ddf-4bbb-b997-4db28736089f_image-1505906864617.original.jpg;0;14; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Construction; ;4 - minimal;Infrastructure;Unknown; ; ; ;1867;1,00E+18;204194;Briana Barton;2017-09-21 14:53:57.287 GMT;Briana Barton;2017-09-21 14:53:57 GMT;204194;Briana Barton;2017-09-21 17:53:46+03:00;423.344.623.984.342;265.414.231.788.638;468.701.410.525.853;462.221.246.125.303; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21-09-2017; ; ; ; ;8427;85;265.424.995;423.343.010
207;1.000.011.505.910.000.000.000.000.000.000.000;8428;Adela Sobotkova;2017-09-20 11:36:27.834 GMT;Adela Sobotkova;2017-09-20 11:36:27 GMT;8428;Burial Mound;Survey;geodetic marker on top, ditch around;Pasture (grassland);Pasture (grassland);Hilltop;42.336.230.572.300.000;26.541.191.465.400.000;4.687.210.538.999.990.000.000;462.203.215.749.864;3.0;128; ;Northeast;#580;files/app/e12d1b8d-a342-4ef4-83bf-ca0533b0f93f_image-1505907433970.original.jpg;0;18; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Construction;geodetic marker;2 - good;Infrastructure;Unknown; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;265.412.006;423.362.007
208;1.000.011.506.320.000.000.000.000.000.000.000;8429;Adela Sobotkova;2017-09-25 07:04:06.103 GMT;Adela Sobotkova;2017-09-25 07:04:06 GMT;8429;Burial Mound;Legacy verification; ;Pasture (grassland);Scrub;Valley Bottom or Plain;42.571.315.741.900.000;26.523.587.290.700.000;4.713.321.900.999.990.000.000;460.899.485.734.279;3.0;0; ;West;#586-587;files/app/8c5eae83-1cc1-47c8-8cb6-d888e5913933_image-1506323581532.original.jpg - files/app/9aabe80c-c857-402f-8cca-243f62faff83_image-1506324113729.original.jpg;0;25; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Excavation; ;3 - impaired;Other (specify in Annotation) (garbage disposal);Last year;01,crescent,12,4,1.5, SE half of mound seems removed; ; ;1287;1,00E+18;203454;Samuel Riley;2017-09-21 11:35:58.297 GMT;Samuel Riley;2017-09-21 11:35:58 GMT;203454;Samuel Riley;2017-09-21 14:35:46+03:00;425.711.442.938.049;265.234.211.572.719;471.330.294.044.602;460.885.743.542.952; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21-09-2017; ; ; ; ;8429;top;265.235.996;425.713.005
209;1.000.011.506.320.000.000.000.000.000.000.000;8430;Adela Sobotkova;2017-09-25 07:30:01.418 GMT;Adela Sobotkova;2017-09-25 07:30:01 GMT;8430;Burial Mound;Legacy verification;zawoi centre;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.564.328.012.499.900;26.525.536.148.600.000;4.712.545.083.999.990.000.000;461.055.087.616.307;3.0;0; ;West;#588-591;files/app/388ab8fc-6793-46dd-a3d8-de2ce46a097e_image-1506324892836.original.jpg;0;12; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Looting??; ;5- none or nearly none;Looting?;Unknown;"01,round,2.5,1.2,manual residual RT on East side; whole mound has been excavated /removed previously"; ;files/app/273872cf-fee7-468e-96ad-a8d8021aae54_image-1506324935560.original.jpg;1335;1,00E+18;203477;Samuel Riley;2017-09-21 12:03:06.965 GMT;Samuel Riley;2017-09-21 12:03:06 GMT;203477;Samuel Riley;2017-09-21 15:02:54+03:00;425.644.692.294.639;265.254.137.738.309;471.256.082.149.566;46.104.513.070.088; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21-09-2017; ; ; ; ;8430;top;265.254.993;425.643.005
210;1.000.011.506.330.000.000.000.000.000.000.000;8431;Adela Sobotkova;2017-09-25 07:43:39.249 GMT;Adela Sobotkova;2017-09-25 07:43:39 GMT;8431;Burial Mound;Legacy verification;Zawoi, yellow soilmark;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.566.057.537.699.900;26.527.231.271.300.000;4.712.736.353.000.000.000.000;46.119.529.877.401;3.0;0; ;Southeast;#592, #593-4 photos of assistants Georgyi i Bozhidar of Zawoi;files/app/f71b97fe-99ac-4534-ab67-c0dba2f23aa8_image-1506325453411.original.jpg;0;18; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Looting; ;5- none or nearly none;Agriculture;Last month; ; ; ;1337;1,00E+18;203478;Samuel Riley;2017-09-21 12:03:22.637 GMT;Samuel Riley;2017-09-21 12:03:33 GMT;203478;Samuel Riley;2017-09-21 15:03:15+03:00;42.565.885.144.782;265.271.016.045.937;471.271.727.010.804;4.611.845.488.797; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21-09-2017; ; ; ; ;8431;top;265.272.007;425.661.011
211;1.000.011.506.330.000.000.000.000.000.000.000;8432;Adela Sobotkova;2017-09-25 08:00:45.773 GMT;Adela Sobotkova;2017-09-25 08:00:45 GMT;8432;Burial Mound;Survey; ;Scrub;Scrub;Valley Bottom or Plain;42.551.742.933.699.900;26.527.650.141.599.900;4.711.146.667.000.000.000.000;461.220.816.592.217;3.0;0; ;North;scrubby excavated? mound;files/app/96ea0fa5-5da7-4c80-9285-caa9ed769d50_image-1506326601251.original.jpg;3;40; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Excavation; ;3 - impaired;Unknown;Unknown; ;no visible trenches but mound looks excavated and repiled; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;265.277.004;425.517.006
212;1.000.011.506.330.000.000.000.000.000.000.000;8433;Adela Sobotkova;2017-09-25 08:19:00.873 GMT;Adela Sobotkova;2017-09-25 08:19:00 GMT;8433;Extinct Burial Mound;Legacy verification;inaccessible mound location inside photovoltaic field;Other (explain in notes) (photovoltaic);Other (explain in notes);Valley Bottom or Plain;42.531.174.425.400.000;26.551.560.254.599.900;4.708.852.080.000.000.000.000;463.171.716.599.856;3.0;0; ;Southeast;#598;files/app/1a9dc4b7-8d30-4626-84e1-ee180bd61b8e_image-1506327571933.original.jpg;0;0; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Urban development (photovoltaic station); ;5- none or nearly none;Infrastructure;Other (check satellite imagery); ; ; ;1389;1,00E+18;203496;Samuel Riley;2017-09-21 12:26:18.444 GMT;Samuel Riley;2017-09-21 12:26:18 GMT;203496;Samuel Riley;2017-09-21 15:26:10+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21-09-2017; ; ; ; ;8433;125;265.515.995;425.312.004
213;1.000.011.506.330.000.000.000.000.000.000.000;8434;Adela Sobotkova;2017-09-25 08:53:07.926 GMT;Adela Sobotkova;2017-09-25 08:53:07 GMT;8434;Burial Mound;Legacy verification;"Eneva mogila, one more 1.6? m high cc a 160m to ESE in annual agr. in panorama and 613-614; after loading past layers I see it''s been recorded in 2010, as 92";Annual agriculture;Pasture (grassland);Hilltop;42.513.786.192.399.900;26.600.928.280.500.000;4.706.901.032.999.990.000.000;467.217.001.062.039;3.0;0; ;Northeast;#603, facing NE, 613;files/app/f00d5887-7547-4c8b-9591-235eeca6da54_image-1506329921735.original.jpg;5;40; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;1 - pristine;Looting; ;1 - full;Looting;Last year;01,round,2.5,1.5,this year?; ;files/app/e970e7b7-91f1-464c-84ef-9c3879df82c7_image-1506329721437.original.jpg;1464;1,00E+18;203525;Samuel Riley;2017-09-21 12:43:24.752 GMT;Samuel Riley;2017-09-21 12:43:24 GMT;203525;Samuel Riley;2017-09-21 15:43:12+03:00;425.138.336.073.962;266.006.994.475.129;47.069.063.862.834;467.198.227.629.298; ;Mound;Hairy brown circle;TopomapRU 1:50k;5;Y;21-09-2017; ; ; ; ;8434;top;266.009.007;425.138.016
