FID;uuid;identifier;createdBy;createdAt0;modifiedBy;modifiedA0;MoundID;Type;Source;Descripti0;LanduseAr0;LanduseOn0;Prominence;Latitude;Longitude;Northing;Easting;Accuracy;HandheldG0;Elevation;FacingDir0;Notes;Photo;HeightMax;DiameterMax;HeightMin;DiameterMin;OtherDime0;Diameter_1;OtherDim_1;ShapeNotes;Associate0;SurfaceMa0;SampleCol0;Chronolog0;Associate1;Condition;Principal0;OtherSour0;Archaeolo0;MostRecen0;MostRecen1;RTDescrip0;CommentsA0;CRMPhotos;FID_1;uuid_1;identifi_1;createdB_1;createdA_1;modified_1;modified_2;ID;FeatureAu0;FeatureTi0;Latitude_1;Longitud_1;Northing_1;Easting_1;Accuracy_1;FeatureTy0;MapSymbol;Source_1;Note;GC;DateCompl0;Descript_1;Classific0;OtherDesc0;Picture;Mound_ID;Precision;x_proj;y_proj
0;1.000.021.505.100.000.000.000.000.000.000.000;8106;Bara Weissova;2017-09-11 04:25:37.643 GMT;Bara Weissova;2017-09-11 04:25:37 GMT;8106;Burial Mound;Legacy verification; ;Annual agriculture;Perennial agriculture (e.g orchard or vineyard);Valley Bottom or Plain;42.409.707.721.300.000;26.247.832.061.499.900;4.695.541.229.000.000.000.000;43.810.826.278.227;3.0;8; ;North;camera photo;files/app/9a543a6c-5890-42eb-bdbe-f35a35369cf8_image-1505104267136.original.jpg;0;55; ;50;p;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last year; ; ; ;1075;1,00E+18;202685;Stephanie Black;2017-09-21 10:04:31.623 GMT;Stephanie Black;2017-09-21 10:04:31 GMT;202685;Stephanie Black;2017-09-21 13:04:22+03:00;42.409.596.358.546;262.476.185.811.943;46.955.290.191.542;438.090.587.056.047; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8106;top;262.478.008;424.096.985
1;1.000.021.505.110.000.000.000.000.000.000.000;8107;Bara Weissova;2017-09-11 04:57:40.605 GMT;Bara Weissova;2017-09-11 05:01:56 GMT;8107;Burial Mound;Legacy verification; ;Annual agriculture;Scrub;Valley Bottom or Plain;42.388.045.496.899.900;26.189.617.998.599.900;4.693.179.962.000.000.000.000;433.295.180.155.942;3.0;9; ;West; ;files/app/de02516a-ef19-45d1-88a2-58d28758d15c_image-1505106149927.original.jpg;0;20; ;11; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Looting;agriculture;5- none or nearly none;Looting;Unknown; ; ;files/app/721f3fa3-0f9b-4699-8ebf-8a0430e54121_image-1505106070736.original.jpg - files/app/e1f3ebe6-4ae3-41ab-842d-2ade8b56cd3a_image-1505106103727.original.jpg;1108;1,00E+18;202701;Stephanie Black;2017-09-21 10:12:48.386 GMT;Stephanie Black;2017-09-21 10:12:48 GMT;202701;Stephanie Black;2017-09-21 13:12:40+03:00;423.878.535.916.425;261.893.710.888.425;469.315.884.681.781;43.327.465.293.863; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8107;30;261.896.000;423.880.005
2;1.000.021.505.110.000.000.000.000.000.000.000;8109;Bara Weissova;2017-09-11 05:26:50.031 GMT;Bara Weissova;2017-09-11 05:26:50 GMT;8109;Uncertain Mound;Survey; ;Annual agriculture;Scrub;Valley Bottom or Plain;42.388.074.849.200.000;26.186.455.873.900.000;4.693.185.707.999.990.000.000;433.034.926.358.657;3.0;11; ;West; ;files/app/46fee0d1-1e3a-4864-96e1-2d5b78836551_image-1505107839315.original.jpg;0;20;0;12; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Looting;"agriculture; plenty of stones within looking like someone excavated and left them there";5- none or nearly none;Looting;Unknown; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;261.865.005;423.880.997
3;1.000.021.505.110.000.000.000.000.000.000.000;8110;Bara Weissova;2017-09-11 05:56:32.456 GMT;Bara Weissova;2017-09-11 05:56:32 GMT;8110;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.398.691.794.500.000;26.186.021.029.500.000;4.694.364.929.999.990.000.000;433.010.425.363.784;3.0;12; ;North; ;files/app/85a523db-1c6c-4b49-a238-cfcacd4af0bf_image-1505109587301.original.jpg;0;35; ;40; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;4 - minimal;Agriculture;Last year; ; ; ;1105;1,00E+18;202699;Stephanie Black;2017-09-21 10:12:08.825 GMT;Stephanie Black;2017-09-21 10:12:08 GMT;202699;Stephanie Black;2017-09-21 13:11:58+03:00;423.983.958.428.472;261.863.045.401.936;469.433.184.461.576;433.033.443.422.652; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8110;10;261.860.008;423.987.007
4;1.000.021.505.120.000.000.000.000.000.000.000;8117;Bara Weissova;2017-09-11 09:16:06.980 GMT;Bara Weissova;2017-09-11 09:16:06 GMT;8117;Extinct Burial Mound;Legacy verification;heap of stones in middle of field;Annual agriculture;Pasture (grassland);Valley Bottom or Plain;42.381.152.793.399.900;26.191.485.819.000.000;4.692.413.150.000.000.000.000;433.441.645.844.143;3.0;19; ;East; ;files/app/c5c921a4-e554-4949-acb2-10653cdf4e22_image-1505121577286.original.jpg;0;15; ;5; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Agriculture; ;5- none or nearly none;Agriculture;Last year; ; ; ;1414;1,00E+18;202760;Stephanie Black;2017-09-21 12:35:14.137 GMT;Stephanie Black;2017-09-21 12:35:14 GMT;202760;Stephanie Black;2017-09-21 15:35:02+03:00;423.810.849.960.511;261.920.328.161.281;46.924.051.934.663;433.486.604.356.611; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21-09-2017; ; ; ; ;8117;6;261.914.997;423.811.989
5;1.000.021.505.280.000.000.000.000.000.000.000;8129;Bara Weissova;2017-09-13 05:54:02.258 GMT;Bara Weissova;2017-09-13 06:11:26 GMT;8129;Burial Mound;Legacy verification; ;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.427.255.220.500.000;26.658.885.075.800.000;4.697.272.009.999.990.000.000;47.193.942.451.253;3.0;31; ;South; ;files/app/f108b237-6842-42ff-99d1-d66cf746e9ce_image-1505282913342.original.jpg;4;30; ;30; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Looting; ;3 - impaired;Looting;Last year;01, rectangle,15,5,3, manual excavation;Pepsi bottle dates last looting at 2015-16.;files/app/a0bfdff8-b533-4b2b-a9bb-2b0bf8f18cbb_image-1505283069257.original.jpg - files/app/c65cbd92-b46f-412b-9555-a35e852b3626_image-1505282827573.original.jpg;1374;1,00E+18;204095;Briana Barton;2017-09-21 12:23:21.619 GMT;Briana Barton;2017-09-21 12:23:33 GMT;204095;Briana Barton;2017-09-21 15:23:14+03:00;424.266.543.337.611;266.572.349.784.626;469.720.583.517.577;471.803.415.831.771; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8129;130;266.588.993;424.272.995
6;1.000.021.505.280.000.000.000.000.000.000.000;8130;Bara Weissova;2017-09-13 06:13:41.076 GMT;Bara Weissova;2017-09-13 06:24:31 GMT;8130;Burial Mound;Survey; ;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.427.041.470.200.000;26.659.174.345.499.900;4.697.248.179.999.990.000.000;471.963.124.998.564;3.0;32; ;South; ;files/app/4ed530f3-50f5-4cb4-a926-60228148d418_image-1505283742747.original.jpg;0;35; ;30; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Looting;potential road cut;2 - good;Looting;Unknown;"01,rectangle,1.5,1, 0.5,manual excavation; 02,rectangle,3,2, 0.5, manual excavation"; ;files/app/042b6a64-79be-474d-bcb3-1ed95c8bc5d6_image-1505283672023.original.jpg - files/app/d14f3c77-c8b7-4112-9570-795c57d98e8c_image-1505283852350.original.jpg;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;266.592.007;424.269.981
7;1.000.021.505.280.000.000.000.000.000.000.000;8131;Bara Weissova;2017-09-13 06:33:19.312 GMT;Bara Weissova;2017-09-13 06:48:24 GMT;8131;Burial Mound;Legacy verification; ;Pasture (grassland);Pasture (grassland);Hilltop;42.429.831.907.299.900;26.663.454.014.999.900;4.697.556.617.999.990.000.000;472.316.405.870.442;3.0;33; ;Southeast;local hilltop, overlooking Pobeda;files/app/172d072c-39eb-43cd-b3d4-57b293956a34_image-1505285099623.original.jpg;0;30; ;25; ;0.000000000000000;0.000000000000000; ;Other;white mortar in the animal hole, prove of a disturbed grave;No; ; ;4 - seriously damaged;Looting;construction and animal activity;4 - minimal;Looting;Unknown;"01,rectangle, 10,4, 1.5, manual excavation; 02,irregular, 4,2, 1.8,hole; 03, rectangle, 10,4, 1.8, manual excavation"; ;files/app/29490ab6-1832-499f-9a28-7622edf7d948_image-1505285290906.original.jpg - files/app/42b50fe4-6bc9-41f9-8fbf-da8641996409_image-1505285249871.original.jpg - files/app/720086ea-a07f-4886-bf69-40dde5e043ff_image-1505285215005.original.jpg;1380;1,00E+18;204097;Briana Barton;2017-09-21 12:24:14.646 GMT;Briana Barton;2017-09-21 12:24:20 GMT;204097;Briana Barton;2017-09-21 15:24:08+03:00;424.297.817.736.319;266.636.366.143.109;469.755.099.222.614;472.331.404.084.144; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21-09-2017; ; ; ; ;8131;top;266.634.998;424.297.981
8;1.000.021.505.290.000.000.000.000.000.000.000;8132;Bara Weissova;2017-09-13 07:00:31.284 GMT;Bara Weissova;2017-09-13 07:01:50 GMT;8132;Burial Mound;Legacy verification;kurgan Dzhibunyaka;Pasture (grassland);Pasture (grassland);Hilltop;42.431.879.867.200.000;26.663.684.171.700.000;4.697.783.944.000.000.000.000;472.336.238.713.588;3.0;34;279.9;West;located in a military base, general allowed us to record it but without taking pictures;files/app/337f75ab-5c63-4451-8e29-fa74645cd61b_image-1505286237015.original.jpg;0;35; ;35; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Construction; ;1 - full;Other (specify in Annotation) (military watch tower);Unknown; ;watchtower on top; ;1378;1,00E+18;204096;Briana Barton;2017-09-21 12:24:00.292 GMT;Briana Barton;2017-09-21 12:24:00 GMT;204096;Briana Barton;2017-09-21 15:23:49+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21-09-2017; ; ; ; ;8132;top;266.637.001;424.319.000
9;1.000.021.505.290.000.000.000.000.000.000.000;8133;Bara Weissova;2017-09-13 07:19:57.751 GMT;Bara Weissova;2017-09-13 07:24:35 GMT;8133;Burial Mound;Legacy verification; ;Other (explain in notes);Other (explain in notes);Hilltop;42.423.131.786.900.000;26.655.326.796.200.000;4.696.815.336.000.000.000.000;471.644.857.138.132;3.0;35;244.6;South;graveyard;files/app/4749f4b5-62ab-4719-b05b-efbae2920841_image-1505287549635.original.jpg;1;45; ;40; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Other; ;2 - good;Other (specify in Annotation) (graveyard );Last year; ; ;files/app/bb15a942-6e2e-4216-a08d-aed6ad0b7934_image-1505287459223.original.jpg;1434;1,00E+18;204101;Briana Barton;2017-09-21 12:38:58.067 GMT;Briana Barton;2017-09-21 12:38:58 GMT;204101;Briana Barton;2017-09-21 15:38:47+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21-09-2017; ; ; ; ;8133;top;266.553.001;424.230.995
10;1.000.021.505.290.000.000.000.000.000.000.000;8134;Bara Weissova;2017-09-13 07:42:11.065 GMT;Bara Weissova;2017-09-23 11:12:26 GMT;8134;Burial Mound;Legacy verification; ;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.433.140.898.100.000;26.648.001.691.099.900;4.697.929.193.000.000.000.000;471.046.850.444.025;3.0;36; ;West; ;files/app/846e3460-f611-434d-8a4b-c5392a582236_image-1505288918697.original.jpg;0;35; ;30; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Looting; ;3 - impaired;Looting;Unknown;"01,irregular,10,4, 1.5, manual excavation; 02,irregular,12,5,1.8, manual excavation";rubbish dumped directly next to mound western side;files/app/15e14626-c710-4da4-9649-d7159c896ce1_image-1506165129401.original.jpg - files/app/4c9d0013-0c85-48eb-8e12-2aec48a8ffbf_image-1505289040507.original.jpg - files/app/4d30565a-7b62-4a0c-ae49-cba9191f4d0a_image-1505289073500.original.jpg;1371;1,00E+18;204094;Briana Barton;2017-09-21 12:22:23.363 GMT;Briana Barton;2017-09-21 12:22:26 GMT;204094;Briana Barton;2017-09-21 15:22:16+03:00;42.433.089.292.583;266.479.263.838.335;469.792.348.879.707;471.040.632.379.002; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8134;top;266.480.007;424.331.017
11;1.000.021.505.290.000.000.000.000.000.000.000;8135;Bara Weissova;2017-09-13 07:56:15.143 GMT;Bara Weissova;2017-09-23 11:13:02 GMT;8135;Burial Mound;Legacy verification; ;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.433.733.998.800.000;26.650.429.594.799.900;4.697.994.224.999.990.000.000;471.246.825.745.389;3.0;37; ;West; ;files/app/c3c26d5d-787a-4bb3-87fb-62ec3f9d6653_image-1505289637638.original.jpg;1;25; ;13; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Looting; ;5- none or nearly none;Looting;Unknown;01, rectangle, 35,5,1, manual excavation; ;files/app/255a1a0c-bcb6-4ed1-bdb1-10836c5a4cac_image-1505289696590.original.jpg - files/app/58a911b9-6131-4a2b-8224-031aaa3fe786_image-1506165168908.original.jpg;1315;1,00E+18;204079;Briana Barton;2017-09-21 11:52:47.732 GMT;Briana Barton;2017-09-21 11:52:54 GMT;204079;Briana Barton;2017-09-21 14:52:41+03:00;424.336.152.363.103;266.505.255.749.545;469.798.100.510.495;471.254.666.129.915; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21-09-2017; ; ; ; ;8135;top;266.504.002;424.337.006
12;1.000.021.505.290.000.000.000.000.000.000.000;8136;Bara Weissova;2017-09-13 08:10:28.195 GMT;Bara Weissova;2017-09-13 08:12:33 GMT;8136;Burial Mound;Legacy verification;Northern edge of mound is dirt road, western edge agricultured, elevation marker on the top;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.431.842.241.399.900;26.644.284.671.699.900;4.697.786.268.000.000.000.000;470.740.507.580.547;16.0;38;260.8;West;mound located on square with point;files/app/2e581e92-5ad5-455a-aadd-954ef81c18d7_image-1505290612153.original.jpg;0;45; ;40; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Other (human activity due to location next to villiage); ;2 - good;Other (specify in Annotation) (rubbish);Unknown; ;rubbish on east side of mound; ;1370;1,00E+18;204093;Briana Barton;2017-09-21 12:22:07.626 GMT;Briana Barton;2017-09-21 12:22:07 GMT;204093;Briana Barton;2017-09-21 15:21:57+03:00; ; ; ; ; ;Mound;Black diamond with a dot inside;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8136;top;266.443.005;424.318.008
13;1.000.021.505.290.000.000.000.000.000.000.000;8137;Bara Weissova;2017-09-13 08:34:29.878 GMT;Bara Weissova;2017-09-13 08:37:55 GMT;8137;Burial Mound;Legacy verification; ;Scrub;Pasture (grassland);Valley Bottom or Plain;42.412.925.026.899.900;26.641.950.436.500.000;4.695.686.559.000.000.000.000;470.539.648.914.324;3.0;39; ;Southwest;at the edge of a dam full of water;files/app/db828a69-b8ff-492e-842e-4eafbc80048b_image-1505291928685.original.jpg;0;20; ;15; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Construction; ;5- none or nearly none;Not available;Unknown; ;covered with rubbish, next to dam; ;1523;1,00E+18;204110;Briana Barton;2017-09-21 13:03:27.815 GMT;Briana Barton;2017-09-21 13:03:27 GMT;204110;Briana Barton;2017-09-21 16:03:17+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21-09-2017; ; ; ; ;8137;15;266.420.002;424.128.990
14;1.000.021.505.290.000.000.000.000.000.000.000;8138;Bara Weissova;2017-09-13 09:17:54.835 GMT;Bara Weissova;2017-09-13 09:17:54 GMT;8138;Extinct Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.423.360.515.299.900;26.609.154.865.299.900;4.696.857.180.999.990.000.000;467.846.554.420.901;3.0;40; ;South; ;files/app/1c87354b-2bbc-4a56-a3a9-1b4800038969_image-1505294770409.original.jpg;0;40; ;35; ;0.000000000000000;0.000000000000000; ;Artefact scatter;Pottery;No;Roman;files/app/1913d5c7-c012-4a43-9d7c-310ad3d41469_image-1505294687576.original.jpg;5 - extinct or near extinct;Agriculture; ;5- none or nearly none;Agriculture;Last month; ; ; ;1365;1,00E+18;204091;Briana Barton;2017-09-21 12:19:30.021 GMT;Briana Barton;2017-09-21 12:19:30 GMT;204091;Briana Barton;2017-09-21 15:19:19+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21-09-2017; ; ; ; ;8138;top;266.091.995;424.234.009
15;1.000.021.505.300.000.000.000.000.000.000.000;8139;Bara Weissova;2017-09-13 09:45:59.119 GMT;Bara Weissova;2017-09-13 09:45:59 GMT;8139;Extinct Burial Mound;Legacy verification;levelled in 70th of the 20th century based on local informant;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.423.894.975.800.000;26.604.772.106.700.000;4.696.918.195.000.000.000.000;467.486.276.025.296;3.0;41; ;East; ;files/app/703e3e67-f9f8-49f8-82c1-3b2cae3301c4_image-1505296249810.original.jpg;0;0;0;0; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Construction; ;5- none or nearly none;Not available;None; ; ; ;1363;1,00E+18;204090;Briana Barton;2017-09-21 12:18:55.667 GMT;Briana Barton;2017-09-21 12:18:55 GMT;204090;Briana Barton;2017-09-21 15:18:50+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21-09-2017; ; ; ; ;8139;top;266.047.993;424.239.006
16;1.000.021.505.300.000.000.000.000.000.000.000;8140;Bara Weissova;2017-09-13 10:09:46.644 GMT;Bara Weissova;2017-09-13 10:09:46 GMT;8140;Extinct Burial Mound;Legacy verification; ;Pasture (grassland);Pasture (grassland);Upper slope;42.437.805.734.800.000;26.595.303.958.100.000;4.698.466.478.000.000.000.000;466.714.731.518.097;3.0;0; ;West; ;files/app/16e8eb06-4231-43c7-8386-2f4aefb6f10c_image-1505297466954.original.jpg;0;0;0;0; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Construction; ;5- none or nearly none;Infrastructure;Unknown; ; ; ;1307;1,00E+18;204075;Briana Barton;2017-09-21 11:45:41.939 GMT;Briana Barton;2017-09-21 11:45:49 GMT;204075;Briana Barton;2017-09-21 14:45:34+03:00;424.377.537.906.623;265.948.084.255.824;469.846.090.509.008;466.673.947.583.812; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8140;20;265.953.007;424.378.014
17;1.000.021.505.300.000.000.000.000.000.000.000;8142;Bara Weissova;2017-09-13 10:30:30.850 GMT;Bara Weissova;2017-09-13 13:14:56 GMT;8142;Burial Mound;Legacy verification;elevation marker on top;Pasture (grassland);Pasture (grassland);Hilltop;42.443.047.999.999.900;26.600.645.000.000.000;0.000000000000000; ;3.0;42;217.6;West; ;files/app/8a1d9f84-8b56-4811-b808-145f22190e68_image-1505298828371.original.jpg;4;40; ;35; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Looting; ;2 - good;Looting;Unknown;"01,irregular, 4,8,1.5, manual excavation; 02, irregular, 1.5, 0.5, manual excavation; 03,irregular, 2,3, 0.5, manual excavation; 04, irregular, 13,6, 4, likely made by machine; 05, irregular, 10,4, 4, likely made by machine; 06,irregular, 2.5, 0.5, manua"; ;files/app/3a6f3323-f5bd-4e49-ab52-212f3eccc201_image-1505298760483.original.jpg - files/app/4b1ffadf-077e-405a-970d-8cf49bc38f8e_image-1505308475116.original.jpg;1308;1,00E+18;204076;Briana Barton;2017-09-21 11:46:05.573 GMT;Briana Barton;2017-09-21 11:46:05 GMT;204076;Briana Barton;2017-09-21 14:45:57+03:00; ; ; ; ; ;Mound;Hairy black triangle with a dot inside;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8142;260;266.005.993;424.430.008
18;1.000.021.505.300.000.000.000.000.000.000.000;8143;Bara Weissova;2017-09-13 10:47:50.602 GMT;Bara Weissova;2017-09-13 10:47:50 GMT;8143;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.447.519.470.700.000;26.602.183.983.800.000;4.699.542.394.999.990.000.000;467.285.651.755.299;3.0;44; ;Southeast; ;files/app/cbec368c-8018-46c7-bf20-164484c3de9a_image-1505299861789.original.jpg;0;50; ;50; ;0.000000000000000;0.000000000000000; ;Loose artefacts; ;No;Roman;files/app/2b50adbf-bd5e-4a5f-8538-13d8798d53d0_image-1505300037557.original.jpg;4 - seriously damaged;Agriculture; ;4 - minimal;Agriculture;Last year; ; ; ;1227;1,00E+18;204060;Briana Barton;2017-09-21 10:50:26.917 GMT;Briana Barton;2017-09-21 10:50:26 GMT;204060;Briana Barton;2017-09-21 13:50:14+03:00;424.473.738.587.965;26.602.056.534.744;469.952.627.586.943;467.275.095.191.515; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21-09-2017; ; ; ; ;8143;top;266.021.996;424.474.983
19;1.000.021.505.370.000.000.000.000.000.000.000;8145;Bara Weissova;2017-09-14 05:58:54.475 GMT;Bara Weissova;2017-09-14 05:58:54 GMT;8145;Burial Mound;Legacy verification;Covered with old vineyard;Perennial agriculture (e.g orchard or vineyard);Perennial agriculture (e.g orchard or vineyard);Valley Bottom or Plain;42.596.527.804.600.000;26.721.479.627.099.900;4.716.049.069.000.000.000.000;477.150.283.247.368;3.0;45;149.8;South;along Pleistocene lake;files/app/856cc811-90aa-4dec-ac33-a7d5e2abd7fb_image-1505369079463.original.jpg;0;60; ;50; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;2 - good;Agriculture;Unknown; ; ; ;1177;1,00E+18;203425;Samuel Riley;2017-09-21 10:36:08.101 GMT;Samuel Riley;2017-09-21 10:36:08 GMT;203425;Samuel Riley;2017-09-21 13:35:54+03:00;425.963.891.110.259;267.212.939.785.213;471.603.371.873.374;477.135.001.985.418; ;Mound;Hairy black diamond with a dot inside;TopomapRU 1:50k;2;Y;21-09-2017; ; ; ; ;8145;top;267.215.004;425.965.004
20;1.000.021.505.370.000.000.000.000.000.000.000;8146;Bara Weissova;2017-09-14 06:13:59.502 GMT;Bara Weissova;2017-09-14 06:13:59 GMT;8146;Extinct Burial Mound;Legacy verification;Destroyed by agriculture;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.596.998.360.400.000;26.719.001.104.800.000;4.716.101.991.999.990.000.000;476.947.119.423.388;3.0;46; ;South;on the shore of a Pleistocene lake;files/app/29ab1361-c116-4ddc-aa75-c473b7766fce_image-1505369790704.original.jpg;0;0; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Agriculture; ;5- none or nearly none;Agriculture;Last year; ; ; ;1178;1,00E+18;203426;Samuel Riley;2017-09-21 10:36:26.949 GMT;Samuel Riley;2017-09-21 10:36:26 GMT;203426;Samuel Riley;2017-09-21 13:36:15+03:00;425.967.913.412.841;267.190.216.883.781;471.607.899.886.503;476.948.731.781.781; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21-09-2017; ; ; ; ;8146;top;267.189.999;425.970.001
21;1.000.021.505.370.000.000.000.000.000.000.000;8147;Bara Weissova;2017-09-14 06:37:49.284 GMT;Bara Weissova;2017-09-14 06:37:49 GMT;8147;Burial Mound;Legacy verification;Used to be vineyard, evidence of poles, Southern side pipe for irrigation, elevation marker on top of mound;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.593.633.802.799.900;26.737.418.993.999.900;4.715.723.537.999.990.000.000;478.456.947.536.782;3.0;47;152.9;South;on the shore of Pleistocene lake;files/app/ac60339f-7740-46cd-9b3e-60527b1c37c5_image-1505371382987.original.jpg;0;60; ;50; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture;Animal Activity;2 - good;Animal activity;Last month; ; ; ;1216;1,00E+18;203445;Samuel Riley;2017-09-21 10:47:06.873 GMT;Samuel Riley;2017-09-21 10:47:18 GMT;203445;Samuel Riley;2017-09-21 13:47:01+03:00;425.935.676.805.374;267.372.600.159.407;471.571.623.666.564;478.443.881.631.279; ;Mound;Hairy black diamond with a dot inside;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8147;top;267.374.001;425.936.012
22;1.000.021.505.370.000.000.000.000.000.000.000;8148;Bara Weissova;2017-09-14 06:59:11.445 GMT;Bara Weissova;2017-09-14 06:59:11 GMT;8148;Extinct Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.594.635.234.899.900;26.731.324.825.000.000;4.715.836.307.000.000.000.000;47.795.731.347.067;3.0;48; ;South;on the shore of Pleistocene lake;files/app/6ee8fccc-53d0-41c7-beab-e0f94c65d094_image-1505372585434.original.jpg;0;0; ;0; ;0.000000000000000;0.000000000000000;Looks more like embankment of lake than a burial mound; ; ;No; ; ;5 - extinct or near extinct;Agriculture; ;5- none or nearly none;Agriculture;Last year; ; ; ;1214;1,00E+18;203444;Samuel Riley;2017-09-21 10:46:29.451 GMT;Samuel Riley;2017-09-21 10:46:29 GMT;203444;Samuel Riley;2017-09-21 13:46:16+03:00;425.944.744.627.426;26.731.103.762.229;471.581.851.214.081;477.939.120.292.244; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21-09-2017; ; ; ; ;8148;top;267.313.004;425.946.007
